id,titre,description,competences,localisation,type_contrat,salaire
1,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"CSS, Azure, React, CI/CD, Photoshop, Figma, Python",Casablanca,CDD,22365
2,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Pandas, Linux, CI/CD, GCP, Azure",Tunis,Freelance,40560
3,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Photoshop, SQL, Linux, Java, Numpy, CSS",Berlin,CDI,67694
4,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Flask, Numpy, GCP, AWS, Pandas, Figma, CI/CD",Casablanca,Freelance,74846
5,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"NoSQL, CSS, Angular, Python, AWS, Kubernetes",Paris,Freelance,40340
6,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Angular, Python, Kubernetes, SQL, Java",Lyon,Alternance,39773
7,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"Photoshop, CSS, Kubernetes, TensorFlow",Lyon,CDD,32104
8,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"AWS, GCP, HTML, Docker, SQL, Figma",Madrid,Freelance,24537
9,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"NoSQL, Pandas, GCP, CSS, TensorFlow",Paris,Freelance,38315
10,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"JavaScript, Kubernetes, AWS",Casablanca,CDI,23976
11,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Java, Flask, SQL, Photoshop, Linux, Docker",Montréal,CDD,60598
12,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"Flask, GCP, TensorFlow, NoSQL, Angular, Azure, Photoshop",Lyon,Stage,77519
13,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"React, Kubernetes, Python",Montréal,CDD,20902
14,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"React, Figma, Numpy, Angular, Photoshop",Tunis,Freelance,38442
15,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Java, Flask, Angular, CI/CD, Figma",Berlin,CDI,62081
16,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"HTML, Numpy, Photoshop, Spring Boot, Python, CSS",Tunis,Freelance,66656
17,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"HTML, Linux, Angular, Java",Tunis,Alternance,78363
18,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Angular, Spring Boot, HTML, AWS",Sfax,CDD,26245
19,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Photoshop, AWS, CSS, Python, React, Kubernetes, CI/CD",Madrid,Freelance,30632
20,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Angular, Figma, Docker, Numpy, Java",Lyon,Freelance,42734
21,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Java, Pandas, React, TensorFlow, Docker, NoSQL",Casablanca,Freelance,23542
22,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"JavaScript, SQL, Java, Numpy, Pandas",Casablanca,Stage,31828
23,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Linux, SQL, Pandas, Spring Boot",Montréal,Stage,46081
24,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Kubernetes, JavaScript, Figma",Lyon,Freelance,61085
25,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"Docker, Angular, SQL, Kubernetes",Casablanca,Freelance,42852
26,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"Linux, Docker, AWS",Sfax,CDI,49529
27,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Angular, Pandas, CSS, React, Spring Boot, SQL, Linux",Sfax,CDD,52503
28,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"Python, NoSQL, TensorFlow, Azure, Figma, Pandas",Berlin,Stage,58919
29,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"Linux, TensorFlow, Angular, Numpy",Berlin,CDI,73307
30,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"CSS, GCP, Kubernetes, Python",Paris,Stage,78919
31,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"AWS, Docker, Spring Boot, Figma",Madrid,Alternance,31072
32,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"Photoshop, Angular, TensorFlow, NoSQL, Numpy, JavaScript, SQL",Sfax,Alternance,70824
33,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"React, HTML, Python, Linux, NoSQL",Lyon,Stage,29402
34,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"HTML, Linux, Azure, Docker",Berlin,CDD,43991
35,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"React, TensorFlow, HTML, Pandas, Spring Boot, AWS",Paris,Freelance,75536
36,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"TensorFlow, Java, Photoshop, Docker, Numpy, Angular, Linux",Tunis,Freelance,59086
37,Développeur Full Stack,Nous recherchons un Développeur Full Stack passionné pour rejoindre notre équipe dynamique.,"AWS, Figma, GCP",Casablanca,CDD,20744
38,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Docker, NoSQL, CI/CD, Spring Boot",Berlin,CDD,76651
39,Développeur Python,Nous recherchons un Développeur Python passionné pour rejoindre notre équipe dynamique.,"SQL, Figma, CI/CD, Spring Boot, Java, Azure",Sfax,Freelance,46477
40,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"HTML, Angular, TensorFlow, JavaScript, Numpy, CSS",Montréal,CDD,26641
41,UX/UI Designer,Nous recherchons un UX/UI Designer passionné pour rejoindre notre équipe dynamique.,"Linux, AWS, React, Numpy, Java, Angular, NoSQL",Sfax,Alternance,38488
42,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"CI/CD, Docker, Pandas, Spring Boot, TensorFlow, Linux, HTML",Tunis,Alternance,76765
43,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Pandas, CI/CD, Photoshop, SQL",Casablanca,Stage,29762
44,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"HTML, Flask, Azure, JavaScript",Madrid,CDI,40477
45,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Python, React, Azure",Berlin,Alternance,57863
46,Développeur Mobile,Nous recherchons un Développeur Mobile passionné pour rejoindre notre équipe dynamique.,"React, Spring Boot, Flask, TensorFlow",Sfax,CDI,70259
47,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"JavaScript, GCP, Pandas, Azure, Python",Montréal,CDI,37813
48,Ingénieur Machine Learning,Nous recherchons un Ingénieur Machine Learning passionné pour rejoindre notre équipe dynamique.,"Angular, Linux, React, GCP",Montréal,CDD,44943
49,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Python, Spring Boot, Angular, CSS, Azure, HTML",Sfax,CDI,24495
50,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Kubernetes, Figma, NoSQL",Sfax,Freelance,43915
51,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"AWS, CSS, CI/CD, Flask, Figma, Java",Montréal,Alternance,41483
52,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Pandas, Figma, NoSQL, TensorFlow",Paris,CDI,61840
53,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Linux, Azure, Pandas, CI/CD",Lyon,Stage,50478
54,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Figma, Spring Boot, Numpy, Kubernetes, GCP",Madrid,CDD,30178
55,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"NoSQL, JavaScript, Flask",Tunis,Alternance,74415
56,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"GCP, CSS, JavaScript",Madrid,Stage,77146
57,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Kubernetes, Flask, CI/CD, Photoshop, Figma, JavaScript, HTML",Tunis,CDD,42747
58,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"CI/CD, Pandas, JavaScript, Flask, Docker",Madrid,Stage,69024
59,Ingénieur DevOps,Nous recherchons un Ingénieur DevOps passionné pour rejoindre notre équipe dynamique.,"Flask, Photoshop, Figma, React, Pandas",Montréal,Stage,56013
60,Développeur Java,Nous recherchons un Développeur Java passionné pour rejoindre notre équipe dynamique.,"Spring Boot, Numpy, JavaScript, Angular, Python, Kubernetes",Casablanca,CDI,24550
61,Chef de projet IT,Nous recherchons un Chef de projet IT passionné pour rejoindre notre équipe dynamique.,"Angular, CSS, SQL",Madrid,Alternance,61400
62,Data Scientist,Nous recherchons un Data Scientist passionné pour rejoindre notre équipe dynamique.,"GCP, Pandas, Kubernetes, CI/CD",Tunis,Stage,76098
63,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"CI/CD, GCP, Spring Boot, Linux, Docker, Azure",Paris,CDD,79043
64,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Spring Boot, CI/CD, Photoshop",Berlin,CDI,74573
65,Analyste Sécurité,Nous recherchons un Analyste Sécurité passionné pour rejoindre notre équipe dynamique.,"Docker, Numpy, Figma, NoSQL, Azure, GCP, Pandas",Paris,Alternance,23209
